#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Olsenella_B scatoligenes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093824	0	0	0	0	0	0	0	0	0	0	0	0.032345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041248	0	0.035914	0.034349	0	0	0.046104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044395	0	0	0	0	0	0.04857	0	0.043666	0	0	0	0	0	0
"Olsenella_B sp000752675"	0	0	0	0.669039	1.362873	0	0	0	0	0	2.151057	0	0	3.03739	0.626123	0	0.683604	0	0	0	0	0	0	0.236909	0	1.232571	0	0	0.144134	0	0.310251	0	0	0	0	0	0	0	0.094626	0	0.227182	1.270701	0	0	0	0	0.358802	0	0.240278	0	0	0	0	0	0	0	2.069297	0.03337	0.936761	0.752145	1.439457	0	1.804497	0	0	0.627678	0	0	0.239281	0	0	0	0	0.039429	0	0	0	0	0	0.056748	0	0	1.439541	0	0.452266	0	0	0	0.509149	0	0.494673	0	0	0.080353	0	0	0
"Olsenella_B sp900111695"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035171	0	0	0	0	0	0	0	0
"Olsenella_B sp900119625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042231	0	0	0.034349	0	0	0.052537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040196	0	0	0	0	0	0	0	0
"Olsenella_E provencensis"	0	0	0	0.16337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034984	0	0	0.13484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043686	0	0	0	0	0	0.032921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Olsenella_E sp003150175"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03251	0	0	0.751983	0	0
"Olsenella_E sp003609875"	0	0	0	0	0	0	0	0.550219	0	0	0	0	0	0	0	0	0	0	0	0.559773	0.354262	0.809812	0.664633	0.064195	0	0.806312	0	0.656473	0	0.822359	0	0	0	0	0	0	0	0	0	0	0	0.497043	0.043615	0	0	0	0.728183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676285	0	0.534764	0	0	0	0	0	0.694928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725218	0.560402	0	0.394734	0	0
"Olsenella_E sp900119915"	0	0	0	0.124472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067264	0	0	0	0	0	0.078102	0	0	0	0	0	0	0	0.479078	0	0	0	0	0	0
"Parolsenella catena"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139993	0	0
"Collinsella aerofaciens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047581	0	0	0	0
